roadtype,onewaysummary,junction,sidewalk,lanes.forward,lanes.backward,leftside,rightside,busway.left,busway.right,count,id
Road - Cycling Allowed,Two Way,no,right,0,0,None,None,no,no,6,52
Road - Cycling Allowed,Two Way,no,both,2,2,share_busway,None,lane,no,6,53
Road - Cycling Allowed,One Way,no,both,2,0,Track,Track,no,no,6,54
Road - Cycling Allowed,One Way,no,both,1,0,None,Track,no,no,6,55
Road - Cycling Allowed,Two Way,no,both,1,1,Track,Track,no,no,5,56
Road - Cycling Allowed,Two Way,no,both,1,1,None,share_busway,no,lane,5,57
Road - Cycling Forbidden,One Way,no,no,6,0,None,None,no,no,4,58
Road - Cycling Allowed,Two Way,no,both,2,1,Lane,Lane,no,no,4,59
Road - Cycling Allowed,One Way,roundabout,left,1,0,None,None,no,no,4,60
Road - Cycling Allowed,One Way,roundabout,both,4,0,None,None,no,no,4,61
Road - Cycling Allowed,One Way,no,both,0,0,None,None,no,no,4,62
Road - Cycling Allowed,One Way - Two Way Cycling,no,both,1,0,None,None,no,no,4,63
Road - Cycling Allowed,One Way,no,no,2,0,share_busway,None,lane,lane,4,64
Road - Cycling Allowed,One Way,no,no,1,0,Lane,None,no,no,3,65
Road - Cycling Allowed,One Way,no,right,2,0,None,None,no,no,3,66
Road - Cycling Allowed,Two Way,no,both,1,2,None,share_busway,no,lane,3,67
Road - Cycling Allowed,One Way - Two Way Cycling,no,both,1,0,Lane,Lane,no,no,3,68
Road - Cycling Allowed,One Way,no,both,1,0,share_busway,share_busway,lane,no,3,69
Road - Cycling Allowed,Two Way,no,left,1,2,None,None,no,no,3,70
Road - Cycling Allowed,Two Way,no,both,2,2,share_busway,share_busway,no,no,3,71
Road - Cycling Allowed,Two Way,no,both,1,2,Lane,Lane,no,lane,2,72
Road - Cycling Allowed,Two Way,no,both,1,2,Lane,Lane,no,no,2,73
Road - Cycling Allowed,Two Way,no,both,2,1,Lane,None,no,no,2,74
Road - Cycling Allowed,One Way,no,left,1,0,None,Track,no,no,2,75
Road - Cycling Allowed,One Way,no,right,2,0,Lane,None,no,no,2,76
Road - Cycling Allowed,One Way,no,left,1,0,Lane,None,no,no,2,77
Road - Cycling Allowed,One Way,no,left,1,0,None,Lane,no,no,2,78
Road - Cycling Allowed,Two Way,no,both,2,2,Lane,None,no,no,1,79
Road - Cycling Allowed,Two Way,no,both,1,2,share_busway,None,lane,lane,1,80
Road - Cycling Allowed,One Way - Two Way Cycling,no,left,1,0,None,Lane,no,no,1,81
Living Street,One Way,no,both,1,0,None,Lane,no,no,1,82
Road - Cycling Allowed,Two Way,no,no,0,0,Track,Track,no,no,1,83
Road - Cycling Allowed,One Way,roundabout,both,4,0,Lane,Lane,no,no,1,84
Road - Cycling Allowed,Two Way,no,both,1,1,None,None,lane,lane,1,85
Road - Cycling Allowed,Two Way,no,both,2,1,None,Lane,no,no,1,86
Road - Cycling Allowed,One Way,no,right,1,0,None,Lane,no,no,1,87
Road - Cycling Allowed,Two Way,no,both,1,1,share_busway,Lane,lane,no,1,88
Road - Cycling Allowed,Two Way,no,left,1,2,Lane,Lane,no,lane,1,89
Road - Cycling Allowed,One Way,no,no,3,0,None,None,no,no,1,90
Road - Cycling Allowed,Two Way,no,both,2,2,share_busway,share_busway,lane,no,1,91
Road - Cycling Allowed,One Way,no,both,2,0,share_busway,share_busway,lane,no,1,92
